WingID,alpha,U,U_ci,Re_c,Re_c_ci,rho,rho_ci,mu,mu_ci,T_atm,T_atm_CI,P_atm,P_atm_CI,P_V_mean,Fx_V_mean,Fy_V_mean,Fz_V_mean,Mx_V_mean,My_V_mean,Mz_V_mean,P_V_ci,Fx_V_ci,Fy_V_ci,Fz_V_ci,Mx_V_ci,My_V_ci,Mz_V_ci,FL_wt_mean,FD_wt_mean,FS_wt_mean,Mn_wt_mean,Ml_wt_mean,Mm_wt_mean,FL_wt_ci,FD_wt_ci,FS_wt_ci,Mn_wt_ci,Ml_wt_ci,Mm_wt_ci,t_s,f_s
F1380,0,12.53010395,0.472594968,793228.5565,29949.20278,1.157215562,0.001992691,1.83E-05,8.81E-10,23.05253519,0.007920053,98340.7656,169.3195,1.115050904,-0.06963549,-0.161529826,0.190309887,-0.251341268,0.057407263,0.333332984,0.017185878,0.066342707,0.007655527,0.065372563,0.005273742,0.073282871,0.021830185,2.262679614,0.314592101,0.269401193,-0.01277639,0.509594271,-0.178199231,0.794575165,0.558427622,7.14134213,0.205890521,0.197452979,0.031822061,45,4000
F1380,2,12.52609067,0.46136555,792723.27,29229.79533,1.157008595,0.001992376,1.83E-05,9.53E-10,23.10552044,0.0085669,98340.7656,169.3195,1.114303232,-0.025583349,-0.153847219,0.164984603,-0.251504636,0.038468053,0.356477205,0.01676792,0.06012356,0.005646686,0.061339865,0.004446676,0.057252167,0.023335565,2.995383298,0.368582092,0.254859328,-0.021824841,0.657147246,-0.219031584,0.831549064,0.53951407,6.212629895,0.176052094,0.175184851,0.032586065,45,4000
F1380,4,12.51331754,0.478631634,792039.53,30326.20979,1.157111369,0.001993765,1.83E-05,2.20E-09,23.07920714,0.019751858,98340.7656,169.3195,1.112525205,0.014191695,-0.148938279,0.140990203,-0.252413725,0.022443461,0.376578812,0.01738117,0.055590395,0.005550516,0.058063263,0.003831479,0.055747815,0.02427801,3.659346325,0.425496801,0.238237434,-0.03754867,0.790347274,-0.251138434,0.857571496,0.55243558,5.88924159,0.16888592,0.164127347,0.033539238,45,4000
F1380,6,12.50380277,0.457479501,791404.3857,28987.39167,1.157084216,0.00199262,1.83E-05,1.13E-09,23.08615869,0.010152744,98340.7656,169.3195,1.111120312,0.046820784,-0.146039318,0.12062454,-0.25388497,0.009760447,0.392206057,0.016597789,0.063313287,0.005133975,0.06796369,0.004758768,0.057618387,0.027801173,4.198483478,0.520768434,0.210926695,-0.060870411,0.899419856,-0.273861699,0.980596338,0.618787263,6.575264716,0.187023303,0.184961621,0.038159472,45,4000
F1380,8,12.48618695,0.481311862,790178.6607,30489.99734,1.156992666,0.00199346,1.83E-05,2.12E-09,23.10959914,0.019075873,98340.7656,169.3195,1.108489889,0.076318817,-0.14391373,0.101375097,-0.255173642,-0.000762475,0.406021021,0.017439138,0.058036042,0.004833704,0.062439472,0.005305286,0.072999658,0.023696759,4.673547304,0.640379,0.193055976,-0.08837122,0.997512626,-0.293385835,0.850274572,0.54392092,6.767165077,0.201360473,0.180540367,0.033075883,45,4000
F1380,10,12.47103467,0.465611943,789165.4103,29495.19865,1.156947687,0.001992165,1.83E-05,7.54E-10,23.12111674,0.006773511,98340.7656,169.3195,1.106256916,0.104208038,-0.142546072,0.082203415,-0.25685335,-0.009710464,0.419090877,0.016847566,0.059794164,0.005878555,0.065535919,0.006407117,0.102150897,0.025069597,5.139445575,0.782032687,0.178552398,-0.118884909,1.089549193,-0.310373584,0.913694865,0.595349378,8.177072089,0.254138333,0.205057105,0.035518528,45,4000
F1380,12,12.44308102,0.478072286,787436.8244,30284.2691,1.156981128,0.001992096,1.83E-05,3.95E-10,23.1125535,0.003554439,98340.7656,169.3195,1.102235418,0.128222168,-0.141830653,0.064626136,-0.258186052,-0.015984945,0.430466767,0.017261558,0.054992145,0.006323345,0.058101901,0.006564321,0.110055732,0.021831255,5.540737794,0.936176976,0.188901552,-0.151104987,1.167773699,-0.324699476,0.813449572,0.550059024,8.234377685,0.260447438,0.200416537,0.031776184,45,4000
F1380,14,12.39319981,0.496858818,784278.4603,31471.77114,1.156979691,0.001992757,1.83E-05,1.52E-09,23.11292157,0.013644128,98340.7656,169.3195,1.09503419,0.065221207,-0.135846052,0.11372904,-0.248199054,-0.001316083,0.402563391,0.017869913,0.197804296,0.060498716,0.144132312,0.01324563,0.295777295,0.070309417,4.174248199,1.250775892,0.236674656,-0.207418072,0.942324191,-0.30884304,2.571562202,2.811748791,23.21207234,0.689071079,0.618635045,0.124591686,45,4000
F1380,16,12.35638425,0.483377085,781836.2368,30614.80306,1.156885784,0.001992323,1.83E-05,1.19E-09,23.13696967,0.010718416,98340.7656,169.3195,1.089666573,0.080409771,-0.134011798,0.103797199,-0.248161695,-0.006633292,0.410269979,0.017330716,0.202823732,0.071768069,0.15644082,0.016828107,0.329701823,0.077333182,4.377994478,1.419859745,0.233078604,-0.245129962,0.986214234,-0.321594604,2.864953421,3.257623581,25.25560802,0.764322135,0.656882947,0.141908021,45,4000
F1380,18,12.33381564,0.493586017,780631.603,31268.99335,1.157072694,0.001992671,1.83E-05,1.23E-09,23.08910861,0.011035673,98340.7656,169.3195,1.086571155,0.09446343,-0.132234211,0.094377479,-0.248381788,-0.011261933,0.417760189,0.017668344,0.221927231,0.083165343,0.161266701,0.017511875,0.380180918,0.07388059,4.576855857,1.610246891,0.233916231,-0.284477655,1.024722431,-0.333626877,2.851187982,3.590765387,28.3751946,0.864719201,0.730370982,0.149731339,45,4000
