,elbowAngle,manusAngle
1,87.19871807,50.28441024
2,87.92803051,51.2591994
3,88.77472866,52.373501
4,89.25579743,53.00196561
5,89.64576352,53.51057322
6,89.65853501,53.52723022
7,89.75607876,53.65446499
8,91.32069828,55.71113008
9,91.41479611,55.83653427
10,91.59838086,56.08202008
11,91.70312811,56.22260549
12,91.94620165,56.55042394
13,92.03397438,56.66937566
14,92.44014855,57.22423935
15,92.97895466,57.97294105
16,93.35119783,58.49155927
17,93.81295068,59.12555326
18,94.00891984,59.39240783
19,94.11269972,59.5333545
20,94.13278477,59.56060831
21,94.15159235,59.58612226
22,94.47446611,60.02342846
23,94.98641678,60.71662074
24,95.3411607,61.19930979
25,95.38661934,61.26141712
26,96.17137747,62.34793585
27,96.37952433,62.64214293
28,96.43665021,62.72343854
29,96.53574592,62.86506229
30,96.64371563,63.02027681
31,97.59598855,64.35233648
32,97.98989439,64.88616268
33,98.07492255,65.00064056
34,98.17909344,65.14063825
35,98.44856268,65.50193995
36,99.00463399,66.24780866
37,99.03483546,66.28847688
38,99.16800714,66.46814774
39,99.96726201,67.56531443
40,99.98951465,67.59649298
41,100.8031362,68.77076213
42,100.8319556,68.81378406
43,101.1925785,69.36202609
44,101.2698832,69.4820896
45,101.3361731,69.58580639
46,101.6138199,70.0163125
47,102.0017525,70.60271704
48,102.0208071,70.63115823
49,102.448016,71.26266349
50,102.640481,71.54463324
51,102.6971193,71.62747601
52,103.3561547,72.5943035
53,103.713249,73.12711189
54,103.8509171,73.33555673
55,104.1700522,73.82730721
56,104.2313505,73.9233363
57,104.4970167,74.34636249
58,104.5819118,74.48409712
59,105.0522799,75.27334449
60,105.3694772,75.83432584
61,105.4971306,76.06471379
62,105.6108047,76.26897226
63,106.0499749,77.05223056
64,106.0538234,77.05906514
65,106.2387406,77.38713449
66,106.2537691,77.41377714
67,106.333774,77.55558667
68,106.9430578,78.63796727
69,107.3166568,79.30870206
70,107.6012324,79.8262007
71,107.7113045,80.02831582
72,107.7574788,80.11346551
73,107.9024143,80.38224288
74,107.9951605,80.55551214
75,108.3413036,81.21208762
76,108.8036567,82.09463203
77,108.8457402,82.1744687
78,109.2206735,82.88317677
79,109.5024045,83.413649
80,109.5412593,83.48673623
81,109.5947298,83.58730134
82,109.747563,83.87470909
83,109.899802,84.16107575
